Algoritmo,Posicion_Media,Fitness_Medio,Tiempo_Medio,Evaluaciones_Promedio
AGE_SinOrden,6.5,10.933333333333334,0.053475379999999996,1000.0
BMB,6.866666666666666,10.7,0.04840805666666667,946.6666666666666
ES,6.933333333333334,10.7,0.02040161,178.03333333333333
GRASP-NOBL,2.8666666666666667,13.566666666666666,0.041246870000000005,10.0
GRASP-SIBL,2.933333333333333,13.5,0.04071577666666667,10.0
Greedy,2.0,14.0,0.008407696,1.0
ILS,7.0,10.666666666666666,0.010770312666666667,207.46666666666667
LSall,3.3,13.4,0.03431015666666667,1000.0
LSsmall,3.1,13.5,0.03020676,717.6
Random,2.1,13.933333333333334,0.03948322333333333,1000.0
