Algoritmo,Posicion_Media,Fitness_Medio,Tiempo_Medio,Evaluaciones_Promedio
AGE_SinOrden,6.566666666666666,11.133333333333333,0.06418587,1000.0
BMB,7.033333333333333,10.8,0.05809688666666667,920.0
ES,6.8,10.833333333333334,0.028050803333333332,175.3
GRASP-NOBL,3.0,14.0,0.05750558666666667,10.0
GRASP-SIBL,3.1333333333333333,13.866666666666667,0.05780548333333334,10.0
Greedy,1.3,16.0,0.011800034333333332,1.0
ILS,7.566666666666666,10.566666666666666,0.012665903333333334,201.36666666666667
LSall,3.8666666666666667,13.533333333333333,0.03785412,1000.0
LSsmall,3.566666666666667,13.733333333333333,0.03640263666666667,707.6666666666666
Random,3.3666666666666667,14.066666666666666,0.04386487333333333,1000.0
